facil,SiteCode  ,Storer         ,Sku                 ,Description                                                 ,<= 15 Days,>15 and <=30 Days   ,>30 and <=45 Days   ,>45 and <=60 Days   ,>60 and <=90 Days   ,>90 and <=120 Days  ,>120 and <=150 Days ,>150 and <=180 Days ,>180 and <=210 Days ,>210 Days 
DLNSW,VMI       ,M1100          ,2GYKF               ,CTRG TONR 3k MGTA SY C37XX                                  ,0         ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,169       
DLNSW,DMI       ,DELL           ,2JVD5               ,FGA OPTI DT 9020 BTS                                        ,0         ,0                   ,0                   ,66                  ,0                   ,0                   ,0                   ,0                   ,0                   ,0         
DLNSW,DMI       ,DELL           ,2K0VT               ,CSN SI 4866 LBL MIAS WJRVT                                  ,0         ,0                   ,100                 ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,439       
DLAKL,DMI       ,DELL           ,2K1VC               ,CTRG TONR 4K HY YEL C266X                                   ,0         ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,3                   ,0                   ,0         
DLNSW,VMI       ,M1100          ,2K1VC               ,CTRG TONR 4K HY YEL C266X                                   ,0         ,0                   ,0                   ,0                   ,0                   ,0                   ,170                 ,0                   ,0                   ,1         
DLNSW,DMI       ,DELL           ,2KFRK               ,SI CSN LOCK  A6917465 DIB 6579                              ,0         ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,177       
DLAKL,DMI       ,DELL           ,2MMJP               ,CTRG TONR 2.5K BLK 1130                                     ,0         ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,46        
DLNSW,DMI       ,DELL           ,2MMJP               ,CTRG TONR 2.5K BLK 1130                                     ,0         ,0                   ,0                   ,0                   ,0                   ,0                   ,0                   ,28                  ,0                   ,893       
DLAKL,DMI       ,DELL           ,2N89C               ,CASE CRYG 17 DRIFTER BP 3PP                                 ,0         ,0                   ,0                   ,0                   ,2                   ,0                   ,0                   ,0                   ,0                   ,0         
DLNSW,VMI       ,M1024          ,2N89C               ,CASE CRYG 17 DRIFTER BP 3PP                                 ,0         ,0                   ,0                   ,0                   ,23                  ,0                   ,0                   ,0                   ,0                   ,6         
